division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2009,12,2009-12-01,6.08,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,1,2010-01-01,5.87,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,2,2010-02-01,5.62,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,3,2010-03-01,5.76,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,4,2010-04-01,5.76,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,5,2010-05-01,6.43,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,6,2010-06-01,6.93,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,7,2010-07-01,8.23,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,8,2010-08-01,7.94,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,9,2010-09-01,8.63,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,10,2010-10-01,7.65,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,11,2010-11-01,6.69,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2010,12,2010-12-01,6.6,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,1,2011-01-01,6.4,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,2,2011-02-01,6.66,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,3,2011-03-01,6.21,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,4,2011-04-01,6.25,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,5,2011-05-01,6.55,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,6,2011-06-01,8.08,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,7,2011-07-01,9.09,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,8,2011-08-01,9.39,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,9,2011-09-01,8.43,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,10,2011-10-01,7.87,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,11,2011-11-01,6.9,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2011,12,2011-12-01,5.95,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2012,1,2012-01-01,5.44,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2012,2,2012-02-01,5.58,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2012,3,2012-03-01,-1.42,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2012,4,2012-04-01,-0.92,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2012,5,2012-05-01,-1.12,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2012,6,2012-06-01,-1.6,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2012,7,2012-07-01,-2.54,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2012,8,2012-08-01,-3.5,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2012,9,2012-09-01,-4.23,Rosebud (Sicangu Lakota),Extreme drought
6,East Central,2012,10,2012-10-01,-4.24,Rosebud (Sicangu Lakota),Extreme drought
6,East Central,2012,11,2012-11-01,-4.13,Rosebud (Sicangu Lakota),Extreme drought
6,East Central,2012,12,2012-12-01,0.06,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,1,2013-01-01,0.17,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,2,2013-02-01,0.37,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,3,2013-03-01,-0.52,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2013,4,2013-04-01,0.66,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,5,2013-05-01,2.08,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,6,2013-06-01,2.0,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,7,2013-07-01,2.73,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,8,2013-08-01,3.4,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,9,2013-09-01,2.99,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,10,2013-10-01,5.89,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,11,2013-11-01,5.36,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2013,12,2013-12-01,5.4,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,1,2014-01-01,4.91,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,2,2014-02-01,4.65,Rosebud (Sicangu Lakota),Near-normal or wet
